Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,rsi_entry,rsi_exit,bb_std,exposure,acr_window,acr_factor
2013-07-30 23:55:00,2013-07-30 23:57:00,1.32523,1.32546,368838.1065848411,84.83276451457782,8231.421497671727,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-31 02:00:00,2013-07-31 02:05:00,1.32531,1.32562,372656.42744739243,115.52349250870375,8346.944990180431,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-31 02:20:00,2013-07-31 02:24:00,1.32506,1.32473,377957.75241183484,-124.72605829588336,8222.218931884549,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-31 02:27:00,2013-07-31 02:37:00,1.32442,1.32402,372489.94723205094,-148.99597889280398,8073.222952991745,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-31 06:31:00,2013-07-31 06:37:00,1.32592,1.32537,365326.24681693065,-200.92943574933028,7872.293517242415,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-31 08:32:00,2013-07-31 10:06:00,1.32149,1.32344,357428.063045914,696.9847229394952,8569.27824018191,Signal Exit,35,55,1.75,0.6,20,1.5
2013-07-31 12:43:00,2013-07-31 13:48:00,1.32783,1.3287,387215.7538321281,336.8777058339229,8906.155946015833,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-31 15:50:00,2013-07-31 16:12:00,1.32938,1.33052,401968.8552264589,458.24449495813053,9364.400440973965,Take Profit,35,55,1.75,0.6,20,1.5
2013-07-31 21:53:00,2013-07-31 21:54:00,1.32893,1.32863,422794.29801301635,-126.83828940389094,9237.562151570073,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-31 22:07:00,2013-07-31 22:19:00,1.32851,1.32823,417199.5160700366,-116.81586449963444,9120.746287070438,Stop Loss,35,55,1.75,0.6,20,1.5
2013-07-31 23:50:00,2013-07-31 23:56:00,1.32726,1.32756,412311.6625410441,123.69349876229961,9244.439785832737,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-01 01:16:00,2013-08-01 01:20:00,1.32702,1.32671,417978.92055128346,-129.57346537091144,9114.866320461826,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-01 01:22:00,2013-08-01 01:27:00,1.32662,1.32688,412244.6361638673,107.18360540266693,9222.049925864492,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-01 02:51:00,2013-08-01 02:52:00,1.32651,1.32611,417126.89354160125,-166.85075741671474,9055.199168447778,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-01 03:18:00,2013-08-01 03:25:00,1.32426,1.32371,410275.8900116795,-225.65173950644441,8829.547428941334,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-01 04:25:00,2013-08-01 04:32:00,1.32289,1.32361,400466.28649130324,288.3357262737599,9117.883155215093,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-01 10:23:00,2013-08-01 10:44:00,1.322,1.3226,413822.2309477349,248.2933385686136,9366.176493783707,Signal Exit,35,55,1.75,0.6,20,1.5
2013-08-01 11:33:00,2013-08-01 11:41:00,1.32274,1.32226,424853.40250315436,-203.92963320152936,9162.246860582178,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-01 12:01:00,2013-08-01 12:45:00,1.32142,1.32174,416018.2316257743,133.12583412019617,9295.372694702373,Signal Exit,35,55,1.75,0.6,20,1.5
2013-08-01 12:54:00,2013-08-01 13:00:00,1.32129,1.32078,422104.4295212575,-215.27325905584576,9080.099435646527,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-01 13:02:00,2013-08-01 13:13:00,1.32075,1.32032,412497.4189958672,-177.37389016828578,8902.72554547824,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-01 14:53:00,2013-08-01 15:00:00,1.32149,1.32123,404213.0721599819,-105.09539876165552,8797.630146716585,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-01 15:18:00,2013-08-01 15:24:00,1.32068,1.32004,399686.38035178476,-255.79928342513182,8541.830863291452,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-01 16:54:00,2013-08-01 17:24:00,1.32075,1.32099,388044.559377238,93.1306942505441,8634.961557541996,Signal Exit,35,55,1.75,0.6,20,1.5
2013-08-01 19:23:00,2013-08-01 19:31:00,1.32049,1.3211,392352.60657219647,239.33509000903962,8874.296647551035,Take Profit,35,55,1.75,0.6,20,1.5
2013-08-01 21:03:00,2013-08-01 21:11:00,1.31999,1.31971,403380.17625365505,-112.94644935104681,8761.350198199987,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-01 21:15:00,2013-08-01 21:34:00,1.31931,1.31979,398451.4722786906,191.25670669378582,8952.606904893773,Signal Exit,35,55,1.75,0.6,20,1.5
2013-08-02 00:29:00,2013-08-02 00:34:00,1.32115,1.32095,406582.4579295511,-81.31649158590126,8871.290413307872,Stop Loss,35,55,1.75,0.6,20,1.5
2013-08-02 00:47:00,2013-08-02 01:17:00,1.32087,1.3213,402974.87625464454,173.27919678946913,9044.569610097342,Take Profit,35,55,1.75,0.6,20,1.5
