Prob,Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,SL,TP,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
0.5143,2013-08-01 21:15:00,2013-08-01 21:18:00,1.31931,1.31915,71477.12422419744,-11.43634,1560.2384061278983,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5227,2013-08-02 00:29:00,2013-08-02 00:31:00,1.32115,1.32117,70858.19503286824,1.417164,1561.6555700285492,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5039,2013-08-02 00:47:00,2013-08-02 00:49:00,1.32087,1.32076,70937.58977167544,-7.803135,1553.852435153661,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.56,2013-08-02 05:57:00,2013-08-02 05:58:00,1.32115,1.32122,70568.17629279011,4.939772,1558.7922074941573,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5114,2013-08-02 06:50:00,2013-08-02 06:53:00,1.32042,1.32042,70831.65390531001,0.0,1558.7922074941573,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5521,2013-08-02 08:14:00,2013-08-02 08:18:00,1.32015,1.32055,70846.14055194444,28.338456,1587.1306637149319,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5999,2013-08-02 11:58:00,2013-08-02 12:00:00,1.32668,1.32657,71779.05736341537,-7.895696,1579.2349674049522,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5669,2013-08-02 13:33:00,2013-08-02 13:34:00,1.32719,1.32686,71394.52380163889,-23.560193,1555.6747745503997,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5262,2013-08-02 14:39:00,2013-08-02 14:41:00,1.32775,1.32774,70299.74503711089,-0.702997,1554.971777100024,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5063,2013-08-02 15:31:00,2013-08-02 15:33:00,1.32765,1.32763,70273.26978194663,-1.405465,1553.5663117043914,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.626,2013-08-04 19:03:00,2013-08-04 19:05:00,1.32746,1.32747,70219.80225563368,0.702198,1554.2685097269368,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5113,2013-08-04 19:25:00,2013-08-04 19:27:00,1.32744,1.32732,70252.59942718029,-8.430312,1545.8381977956824,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.562,2013-08-04 19:29:00,2013-08-04 19:31:00,1.32734,1.32733,69876.81518506257,-0.698768,1545.1394296438273,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.575,2013-08-04 23:01:00,2013-08-04 23:04:00,1.32725,1.32728,69849.96479836476,2.095499,1547.2349285877765,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5697,2013-08-04 23:33:00,2013-08-04 23:35:00,1.32736,1.32738,69938.89804971265,1.398778,1548.6337065487644,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5746,2013-08-05 03:01:00,2013-08-05 03:03:00,1.32659,1.32693,70042.75804349939,23.814538,1572.4482442835547,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5183,2013-08-05 04:45:00,2013-08-05 04:46:00,1.32758,1.32792,71066.82433978612,24.16272,1596.6109645590825,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5078,2013-08-05 06:23:00,2013-08-05 06:26:00,1.32735,1.3274,72171.36239390133,3.608568,1600.2195326787692,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5764,2013-08-05 06:39:00,2013-08-05 06:41:00,1.32678,1.32689,72365.55567669557,7.960211,1608.1797438031936,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5197,2013-08-05 07:15:00,2013-08-05 07:16:00,1.32627,1.32608,72753.50013812543,-13.823165,1594.3565787769398,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5755,2013-08-05 07:17:00,2013-08-05 07:19:00,1.32608,1.32577,72138.47937275005,-22.362929,1571.993650171385,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5187,2013-08-05 08:00:00,2013-08-05 08:01:00,1.32587,1.32553,71137.90870166992,-24.186889,1547.8067612128168,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5479,2013-08-05 08:02:00,2013-08-05 08:03:00,1.32562,1.32564,70056.58157901133,1.401132,1549.2078928443907,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5146,2013-08-05 08:20:00,2013-08-05 08:22:00,1.32499,1.32519,70153.3397011777,14.030668,1563.2385607846402,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5344,2013-08-05 08:30:00,2013-08-05 08:33:00,1.32472,1.3248,70803.1234125539,5.66425,1568.9028106576502,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5141,2013-08-05 10:01:00,2013-08-05 10:02:00,1.32389,1.3235,71104.22213285016,-27.730647,1541.1721640258306,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5327,2013-08-05 16:31:00,2013-08-05 16:32:00,1.32568,1.32567,69753.13034936774,-0.697531,1540.4746327223324,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5711,2013-08-05 16:41:00,2013-08-05 16:45:00,1.32559,1.32556,69726.29392447132,-2.091789,1538.3828439046001,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5076,2013-08-05 16:47:00,2013-08-05 16:53:00,1.32539,1.32557,69642.1209110345,12.535582,1550.9184256685758,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5616,2013-08-05 17:31:00,2013-08-05 17:34:00,1.32558,1.32562,70199.5394771455,2.807982,1553.7264072476644,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5307,2013-08-05 18:31:00,2013-08-05 18:43:00,1.32568,1.32577,70321.33277628075,6.32892,1560.0553271975243,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5762,2013-08-05 18:52:00,2013-08-05 18:57:00,1.32566,1.32569,70608.84361891545,2.118265,1562.17359250609,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5377,2013-08-05 19:16:00,2013-08-05 19:17:00,1.32554,1.32551,70711.11814835118,-2.121334,1560.0522589616412,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5777,2013-08-05 19:18:00,2013-08-05 19:19:00,1.32549,1.32536,70617.76063018088,-9.180309,1550.8719500797204,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5337,2013-08-05 19:20:00,2013-08-05 19:21:00,1.32543,1.32541,70205.3801443933,-1.404108,1549.4678424768233,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
