combination_index,mean_final_cash,var_final_cash,mean_drawdown,var_drawdown,mean_rank,consistency_score
884,1117.3270385157264,90396.02277041806,-190.1509183563724,12631.88937605482,6304.5,-109709.10749741118
404,1112.707013056731,91383.90984155177,-166.77560696727485,14181.370961273706,6274.083333333333,-110206.3881153974
1844,1115.2098251451457,91894.2419379045,-194.6250879305942,11819.051478381512,6311.166666666667,-110365.77563252926
368,1268.3982101690979,101141.95396661837,-114.81345802184471,16023.962796819273,5800.166666666667,-110543.48203657716
11724,1110.929900857669,92818.72147181554,-167.03865954551978,14288.599270031502,6282.583333333333,-111032.09562025339
78,1144.1879366786509,95757.20808534265,-165.3329236174204,17241.506943893983,6217.333333333333,-112405.65070519003
8352,79.84304974479078,6348.400453700387,-969.0869720851691,807.4822256665775,10916.666666666666,-112713.24638053092
7872,79.84287702286788,6348.430539523964,-969.087144807092,807.4938723175219,10921.833333333334,-112764.93064397809
7392,79.84280725287995,6348.44269271552,-969.08721457708,807.4985771155475,10922.333333333334,-112769.93775223446
6912,79.93880364006897,6448.5902686805875,-969.4386346194179,781.6820829365747,10928.0,-112871.52433767337
1364,1112.8461245354356,96820.3057015723,-191.84943697106988,11678.197541858439,6324.916666666667,-112939.66773238039
11038,1155.5884022726711,97651.98991343542,-163.5549447436558,16715.825597327363,6193.5,-112997.63815733361
4558,1154.8604998301291,98806.77032806288,-163.5549447436558,16715.825597327363,6193.583333333333,-113576.5896004232
4798,35.099550532480656,2591.5446517153155,-985.3276383017084,216.4195617799621,11223.666666666666,-113836.22164583833
11718,1161.01430974062,99825.85253743251,-163.5549447436558,16715.825597327363,6186.333333333333,-114007.47689519753
6232,85.096485547466,8941.693549285132,-970.8483134928457,678.3238751263796,10944.833333333334,-114261.00289150157
5758,34.67051861865229,2618.0840385400184,-985.6783257798883,223.25329409983536,11277.583333333334,-114390.55899053863
5278,34.669718150840254,2618.1444352389917,-985.6783455585261,223.2539118279172,11282.416666666666,-114438.92345216846
10952,58.29985253255481,4492.187572368892,-979.4532266255479,481.4096098478131,11187.75,-114455.41182360912
10472,58.29984292552074,4492.1887943716965,-979.4532362325818,481.4100405158142,11189.916666666666,-114477.07919989992
9992,58.29983904481677,4492.189287993052,-979.4532401132859,481.410214482208,11190.833333333334,-114486.24615321548
9512,58.85698390736203,4644.572403157445,-979.2320087308659,485.29114569442265,11191.166666666666,-114565.92371609616
398,1164.3553015830896,101515.88583786003,-163.5549447436558,16715.825597327363,6179.166666666667,-114777.48588690217
4118,38.19902132669153,3973.8410605735494,-984.79379688277,289.4490705835247,11262.666666666666,-114928.71612880827
4112,101.48967706249084,12253.007428420002,-961.0876326439703,1685.9990049392181,10851.083333333334,-115161.37346126189
5752,103.28947196642775,12662.675164854649,-960.5254796902938,1697.5634630257439,10836.083333333334,-115216.55178030647
5272,103.28932954138583,12662.707259655666,-960.5256221153358,1697.575727614753,10839.666666666666,-115252.40379911066
4792,103.28927200964178,12662.720224296672,-960.5256796470799,1697.5806819601928,10841.083333333334,-115266.5780137582
10923,51.23747500343225,4668.068702300364,-977.924624420131,1075.440994274347,11263.75,-115428.76246232766
10443,51.23745132668242,4668.0713490940825,-977.9246480968809,1075.442134601741,11267.416666666666,-115465.43071123643
9963,51.23570674351459,4668.2650650538635,-977.9257696928897,1075.4956164617706,11269.416666666666,-115485.54034665029
